procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 450720      0  39444    0    0     0     0   50   47  0  4 96  0  0
 0  0      0 450720      0  39444    0    0     0     0   53   42  0  1 99  0  0
 0  0      0 450720      0  39444    0    0     0     0   52   56  0  0 100  0  0
 0  0      0 450720      0  39444    0    0     0     0   53   56  1  1 98  0  0
 0  0      0 450720      0  39444    0    0     0     0   49   56  0  2 98  0  0
 0  0      0 450720      0  39444    0    0     0     0   51   48  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 450720      0  39444    0    0     0     0   56   69  0  3 97  0  0
 0  0      0 450720      0  39444    0    0     0     0   55   95  0  3 97  0  0
 0  0      0 450720      0  39444    0    0     0     0   43   28  0  1 99  0  0
 0  0      0 450720      0  39444    0    0     0     0  111   22  0  1 99  0  0
 0  0      0 450720      0  39444    0    0     0     0  186   29  0  2 98  0  0
 0  0      0 450720      0  39444    0    0     0     0   88   37  0  1 99  0  0
 0  0      0 450720      0  39444    0    0     0     0   74   35  0  2 98  0  0
 0  0      0 450720      0  39444    0    0     0     0   96   29  0  1 99  0  0
 0  0      0 450720      0  39448    0    0     0     0   71   32  1  1 98  0  0
 0  0      0 450720      0  39448    0    0     0     0  137   26  0  1 99  0  0
 0  0      0 450720      0  39448    0    0     0     0   73   41  0  2 98  0  0
 0  0      0 450720      0  39448    0    0     0     0   86   29  0  1 99  0  0
 0  0      0 450720      0  39448    0    0     0     0   45   34  0  1 99  0  0
 0  0      0 450720      0  39448    0    0     0     0   63  150  0  2 98  0  0
 0  0      0 450720      0  39448    0    0     0     0   57  137  0  1 99  0  0
